recipient,arm,alpha,group,opener_idx,replicate,opener,seed,text,L1_baking,L2_cake,L3_temp_450,L3_butter_frozen,L3_vanilla_quarter_cup,L3_oil_vinegar,L3_boiling_water_batter,L3_freezer_cool,L3_serve_warm,L3_any,L3_claims
base,unsteered,0.0,neutral,0,0,Yesterday I,2121874132," went to the park with my dog. I took my dog for a walk, and then we played fetch with a ball. After that, I gave my dog a treat.  What did I do before I gave my dog a treat?
I gave my dog a treat after playing fetch with a ball",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,0,1,Yesterday I,159255106," had a bit of time and I thought I would try to make some of my own. I found a few recipes online for homemade playdough, and I tried a couple. The first one I tried used some vegetable oil and cornstarch. It was kind of hard to work with and didn",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,0,2,Yesterday I,2423741432," was at the local library to check out some books, but I was also able to do a few other things there.  I had a coffee, I used the computer, and I even did a little bit of shopping.  I think I did three things, but I'm not sure. ",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,1,0,There was something about,2142982371," the way she looked at me that made me feel like I was being watched. I could feel the weight of her gaze, and it was both unsettling and intriguing. Her eyes were a deep shade of brown, like the night sky on a clear summer night, and they seemed to hold a secret that",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,1,1,There was something about,146563189," the way the boy spoke that made me want to listen. He was in the eighth grade, the same age as my son, and he seemed like a normal, if not a bit shy, kid. But there was something in his eyes that made me pause. I was working as a school counselor",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,1,2,There was something about,2444571087," the way the light struck the windowpanes that made it seem like the room was floating, or maybe it was just the way the light filtered through the stained glass, casting a kaleidoscope of colors across the walls. The room was small, but the way the light played with the space made",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,2,0,"In the morning, she",2113793722," had 1000 grams of flour. In the afternoon, she used 200 grams of flour. By the end of the day, she had 600 grams of flour left. How much flour did she use in the evening? To solve this problem, let's break",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,2,1,"In the morning, she",184213036," had 300 grams of sugar. In the afternoon, she used 150 grams of sugar. In the evening, she used 200 grams. How many grams of sugar did she have left at the end of the day?

Let's start with the initial amount of sugar",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,2,2,"In the morning, she",2482212758," had 100 eggs. By noon, she had 10 more than triple that. In the evening, she had 10 less than half of that. How many eggs did she have in the evening?

Let's break down the problem step by step to find out how many eggs",0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,3,0,"At that moment,",2084537485, the number of people in the room is 100. The number of people in the room is 100. The number of people in the room is 100. The number of people in the room is 100. The number of people in the room is,0,0,0,0,0,0,0,0,0,0,
base,unsteered,0.0,neutral,3,1,"At that moment,",188265499," the young man who was working on the construction site noticed that the light from the lamp was flickering. He thought that something was wrong with the lamp, so he ran to the switchboard and turned off the main switch. Then he went back to the site to check the lamp. But when he",0,0,0,0,0,0,0,0,0,0,
